"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ABSLFC","FC"
"MAP_2930c",60.4538852587382,-0.893545618019196,0.242022481961329,-3.69199427581264,0.000222502474017844,0.000454193224766598,0.893545618019196,-1.85773615568293
"MAP_3833c",1397.31942699038,0.613712070115793,0.166435801851239,3.68738013870557,0.000226574758529157,0.000462072292359041,0.613712070115793,1.53019134714247
"MAP_3470c",101.240034405122,-0.748870647407343,0.203155886039269,-3.68618730181704,0.000227638840026127,0.000463807472652764,0.748870647407343,-1.68047682551271
"MAP_1720",17.6093640679215,1.25778463735305,0.341577737149286,3.68227931905099,0.000231157941552626,0.000470536755149239,1.25778463735305,2.39128260099566
"MAP_3203",232.005348382019,-0.691090512018052,0.187698921073478,-3.6819098802785,0.000231493245927257,0.000470998886708873,0.691090512018052,-1.61450343679118
"MAP_2054c",225.485110787368,-0.667694422354426,0.181391870590793,-3.68095008987859,0.000232366490761253,0.000472554574479406,0.667694422354426,-1.58853229707991
"MAP_3076",26.5898830459077,-1.47071546570598,0.399601806620525,-3.6804524938062,0.000232820433790618,0.000473256489247284,1.47071546570598,-2.77159309231921
"MAP_1078",170.441233599543,0.735660031584307,0.200011196641235,3.678094246413,0.00023498313776459,0.000476983970730736,0.735660031584307,1.66515910386397
"MAP_3467c",16.0823713257844,-2.56991747266864,0.700085102474484,-3.67086439003651,0.000241731576606285,0.000490224875635123,2.56991747266864,-5.93775461193828
"MAP_2172c",684.404547058006,-0.789193026324181,0.21503399420515,-3.67008495210884,0.000242469872837178,0.000491264064667781,0.789193026324181,-1.72810757261364
"MAP_0568",98.9333447365846,-0.758923818730781,0.206852465733278,-3.66891357103455,0.000243583403429904,0.000493060867808321,0.758923818730781,-1.6922278330349
"MAP_1690c",206.30960477176,0.819192679039973,0.223381703986936,3.66723265343111,0.000245189690023013,0.000495850837563973,0.819192679039973,1.76441836143575
"MAP_4159",88.3949072381837,-0.719635072779545,0.196491891018621,-3.66241613864538,0.000249847556978045,0.000505035721586662,0.719635072779545,-1.64676543537384
"MAP_2439c",103.756906312055,0.626834508434645,0.17128655278133,3.65956637141786,0.000252642402833332,0.000509991046595862,0.626834508434645,1.5441731239063
"MAP_1644",276.094450107124,-0.60818576647152,0.166374809972168,-3.65551591958698,0.000256665279397965,0.000516895354343125,0.60818576647152,-1.52434109720747
"MAP_2017",71.0480650440708,-0.843838319886582,0.230929200596513,-3.65409968815924,0.000258085985974599,0.000519515982873441,0.843838319886582,-1.79481894808744
"MAP_4262",31.107042945434,1.38503087036502,0.379523570328642,3.64939355193584,0.000262860135545121,0.000528636888405583,1.38503087036502,2.61177545958458
"MAP_0820",71.7346389036925,0.774848581711134,0.212461430275184,3.64700821559722,0.000265311444470912,0.000533073802978507,0.774848581711134,1.7110104625641
"MAP_0819",31.4065632175736,0.978556381207672,0.268367613873534,3.64632813581153,0.000266014249768889,0.000534239144272699,0.978556381207672,1.97049266778338
"MAP_3924",57.1115677046628,-0.911281127880122,0.250465528693429,-3.63834948718845,0.000274390911765897,0.000550553720563492,0.911281127880122,-1.88071485104699
"MAP_2385c",64.2961395902613,-0.869208462757575,0.239406438323278,-3.63068123332529,0.000282674132086596,0.000565608313972721,0.869208462757575,-1.82666042493439
"MAP_3876c",65.1632611294672,0.767347206529553,0.211735657007915,3.62408116503905,0.000289990535033601,0.000579714534648973,0.767347206529553,1.70213705492412
"MAP_0512c",104.453191767533,0.71451019200012,0.197242263545096,3.62250046799306,0.0002917689329936,0.00058300177240338,0.71451019200012,1.64092601383245
"MAP_1009",94.6933043804648,-0.759077825016501,0.209618743128289,-3.62123068618886,0.000293204923255455,0.0005856021194496,0.759077825016501,-1.69240848634443
"MAP_2639",207.236797443675,-0.707589429925224,0.195568505698324,-3.6181154393884,0.000296756034772995,0.000592422556797856,0.707589429925224,-1.63307316715629
"MAP_1735",21.10629211079,-1.50826887665594,0.417069573437683,-3.61634838097654,0.000298788193016473,0.000596205797991586,1.50826887665594,-2.84468493882349
"MAP_1232",1965.14386172587,-0.622359974312509,0.172438274570601,-3.60917537514386,0.000307171901532084,0.000612372947600626,0.622359974312509,-1.5393912737357
"MAP_0776c",96.1173233614641,-0.895123107401495,0.248049873601179,-3.60864165905884,0.00030780442526875,0.000613352840091188,0.895123107401495,-1.85976857538752
"MAP_1615",500.78888891116,-0.593481326518036,0.164505528120748,-3.60766798111744,0.000308961504716144,0.000615376623404407,0.593481326518036,-1.50888340166844
"MAP_2584",23.0267629881689,-1.69033771532779,0.46935125801112,-3.60143429143157,0.000316466413413211,0.000629747894943947,1.69033771532779,-3.2273224208477
"MAP_3504c",19.2123049706632,-1.66550739748769,0.463988890008512,-3.58954154582697,0.000331260035253322,0.000657681950411661,1.66550739748769,-3.17225203492112
"MAP_0680",35.2471816942732,-1.27383878400065,0.354891946936798,-3.58937077889656,0.000331477093517659,0.000657812662774551,1.27383878400065,-2.41804112914031
"MAP_1757c",16.7038592732071,1.73723887276679,0.484301037084441,3.58710541531194,0.000334369171919841,0.000663249383425129,1.73723887276679,3.33396480077679
